text,entities
Barmeli Tole,"[[0, 12, 'LOCATION']]"
0 mile bazaar,"[[0, 13, 'LOCATION']]"
12 number Chowk,"[[0, 15, 'LOCATION']]"
36 Kilo,"[[0, 7, 'LOCATION']]"
38 Kilo,"[[0, 7, 'LOCATION']]"
45 Bigha Chowk,"[[0, 14, 'LOCATION']]"
A--Gaun,"[[0, 7, 'LOCATION']]"
A-Gaun,"[[0, 6, 'LOCATION']]"
Aaapgachi Chowk,"[[0, 15, 'LOCATION']]"
Aabu khaireni Bazar,"[[0, 19, 'LOCATION']]"
Aabu khaireni chowk,"[[0, 19, 'LOCATION']]"
Aad,"[[0, 3, 'LOCATION']]"
Aadarsanagar Chowk,"[[0, 18, 'LOCATION']]"
Aadarsh Tol,"[[0, 11, 'LOCATION']]"
Aadarsha,"[[0, 8, 'LOCATION']]"
Aadarsha Gumba Chowk,"[[0, 20, 'LOCATION']]"
Aadhikhola Pul Chowk,"[[0, 20, 'LOCATION']]"
Aadhunik Chowk,"[[0, 14, 'LOCATION']]"
Aadinath Tole,"[[0, 13, 'LOCATION']]"
Aage,"[[0, 4, 'LOCATION']]"
Aagridanda,"[[0, 10, 'LOCATION']]"
Aakashedhara,"[[0, 12, 'LOCATION']]"
Aakhali,"[[0, 7, 'LOCATION']]"
Aakhkhark,"[[0, 9, 'LOCATION']]"
Aal Dada,"[[0, 8, 'LOCATION']]"
Aala,"[[0, 4, 'LOCATION']]"
Aale,"[[0, 4, 'LOCATION']]"
Aaletar,"[[0, 7, 'LOCATION']]"
Aalethati,"[[0, 9, 'LOCATION']]"
Aalo,"[[0, 4, 'LOCATION']]"
Aalok Nagar,"[[0, 11, 'LOCATION']]"
Aaltigaira,"[[0, 10, 'LOCATION']]"
Aalukhor,"[[0, 8, 'LOCATION']]"
Aam,"[[0, 3, 'LOCATION']]"
Aama,"[[0, 4, 'LOCATION']]"
Aambagiya,"[[0, 9, 'LOCATION']]"
Aambas,"[[0, 6, 'LOCATION']]"
Aamchaura,"[[0, 9, 'LOCATION']]"
Aampani,"[[0, 7, 'LOCATION']]"
Aampur,"[[0, 6, 'LOCATION']]"
Aamrukh,"[[0, 7, 'LOCATION']]"
Aamsaini,"[[0, 8, 'LOCATION']]"
Aamsera,"[[0, 7, 'LOCATION']]"
Aamsoti,"[[0, 7, 'LOCATION']]"
Aamtola,"[[0, 7, 'LOCATION']]"
Aanandaganj,"[[0, 11, 'LOCATION']]"
Aangapani Settlement,"[[0, 20, 'LOCATION']]"
Aangmang,"[[0, 8, 'LOCATION']]"
Aani Gumba Chowk,"[[0, 16, 'LOCATION']]"
Aanpghachhi,"[[0, 11, 'LOCATION']]"
Aanppipal,"[[0, 9, 'LOCATION']]"
Aapchaur,"[[0, 8, 'LOCATION']]"
Aapgachi Chowk,"[[0, 14, 'LOCATION']]"
Aaptari,"[[0, 7, 'LOCATION']]"
Aare,"[[0, 4, 'LOCATION']]"
Aarogya Tol,"[[0, 11, 'LOCATION']]"
Aaru Chanuate,"[[0, 13, 'LOCATION']]"
Aarubata,"[[0, 8, 'LOCATION']]"
Aarubote,"[[0, 8, 'LOCATION']]"
Aarukharka,"[[0, 10, 'LOCATION']]"
Aaruma,"[[0, 6, 'LOCATION']]"
Aasamitol,"[[0, 9, 'LOCATION']]"
Aashirbaad Chowk,"[[0, 16, 'LOCATION']]"
Aashirvad Chowk,"[[0, 15, 'LOCATION']]"
Aasidawa,"[[0, 8, 'LOCATION']]"
Aasimure Khadka Gau,"[[0, 19, 'LOCATION']]"
Aasiram,"[[0, 7, 'LOCATION']]"
Aasmanbari,"[[0, 10, 'LOCATION']]"
Aastha chowk,"[[0, 12, 'LOCATION']]"
Aasurpa,"[[0, 7, 'LOCATION']]"
Aath Vai Thar,"[[0, 13, 'LOCATION']]"
Aati,"[[0, 4, 'LOCATION']]"
Aatighar,"[[0, 8, 'LOCATION']]"
Aatipakhar,"[[0, 10, 'LOCATION']]"
Aatitar,"[[0, 7, 'LOCATION']]"
Aaurahaniya,"[[0, 11, 'LOCATION']]"
Aayaaarjan Chowk,"[[0, 16, 'LOCATION']]"
Aayabari,"[[0, 8, 'LOCATION']]"
Aba,"[[0, 3, 'LOCATION']]"
Abadi Madhesa,"[[0, 13, 'LOCATION']]"
Abadi Madhesha,"[[0, 14, 'LOCATION']]"
Abang,"[[0, 5, 'LOCATION']]"
Abar,"[[0, 4, 'LOCATION']]"
Abartu,"[[0, 6, 'LOCATION']]"
Abas,"[[0, 4, 'LOCATION']]"
Abgan,"[[0, 5, 'LOCATION']]"
Abhimantol,"[[0, 10, 'LOCATION']]"
Abhiraw,"[[0, 7, 'LOCATION']]"
Abhirawa,"[[0, 8, 'LOCATION']]"
Abhiwan,"[[0, 7, 'LOCATION']]"
Abhyanagar,"[[0, 10, 'LOCATION']]"
Abi,"[[0, 3, 'LOCATION']]"
Abidhara,"[[0, 8, 'LOCATION']]"
Abrinalang,"[[0, 10, 'LOCATION']]"
Abtha Dhuri,"[[0, 11, 'LOCATION']]"
Abu Khaireni,"[[0, 12, 'LOCATION']]"
Abugaun,"[[0, 7, 'LOCATION']]"
Abuigaun,"[[0, 8, 'LOCATION']]"
Abute,"[[0, 5, 'LOCATION']]"
